threshold,precision,recall,f1,accuracy
0.0,0.5873015873015873,1.0,0.74,0.5873015873015873
0.05555555555555555,0.7991266375545851,0.9891891891891892,0.8840579710144928,0.8476190476190476
0.1111111111111111,0.8235294117647058,0.9837837837837838,0.896551724137931,0.8666666666666667
0.16666666666666666,0.8341013824884793,0.9783783783783784,0.900497512437811,0.873015873015873
0.2222222222222222,0.8436018957345972,0.9621621621621622,0.898989898989899,0.873015873015873
0.2777777777777778,0.8428571428571429,0.9567567567567568,0.8962025316455695,0.8698412698412699
0.3333333333333333,0.855072463768116,0.9567567567567568,0.903061224489796,0.8793650793650793
0.38888888888888884,0.8620689655172413,0.9459459459459459,0.9020618556701031,0.8793650793650793
0.4444444444444444,0.8737373737373737,0.9351351351351351,0.9033942558746736,0.8825396825396825
0.5,0.8775510204081632,0.9297297297297298,0.9028871391076115,0.8825396825396825
0.5555555555555556,0.882051282051282,0.9297297297297298,0.9052631578947369,0.8857142857142857
0.611111111111111,0.8854166666666666,0.918918918918919,0.9018567639257294,0.8825396825396825
0.6666666666666666,0.8941798941798942,0.9135135135135135,0.9037433155080214,0.8857142857142857
0.7222222222222222,0.9157303370786517,0.8810810810810811,0.8980716253443526,0.8825396825396825
0.7777777777777777,0.9239766081871345,0.8540540540540541,0.8876404494382022,0.873015873015873
0.8333333333333333,0.9454545454545454,0.8432432432432433,0.8914285714285713,0.8793650793650793
0.8888888888888888,0.9612903225806452,0.8054054054054054,0.8764705882352942,0.8666666666666667
0.9444444444444444,0.9708029197080292,0.7189189189189189,0.8260869565217391,0.8222222222222222
1.0,0.0,0.0,0.0,0.4126984126984127
