threshold,precision,recall,f1,accuracy
0.0,0.5873015873015873,1.0,0.74,0.5873015873015873
0.05555555555555555,0.7829787234042553,0.9945945945945946,0.8761904761904763,0.834920634920635
0.1111111111111111,0.8169642857142857,0.9891891891891892,0.8948655256723715,0.8634920634920635
0.16666666666666666,0.8235294117647058,0.9837837837837838,0.896551724137931,0.8666666666666667
0.2222222222222222,0.8348623853211009,0.9837837837837838,0.9032258064516129,0.8761904761904762
0.2777777777777778,0.8465116279069768,0.9837837837837838,0.91,0.8857142857142857
0.3333333333333333,0.8443396226415094,0.9675675675675676,0.9017632241813602,0.8761904761904762
0.38888888888888884,0.8523809523809524,0.9675675675675676,0.9063291139240507,0.8825396825396825
0.4444444444444444,0.8523809523809524,0.9675675675675676,0.9063291139240507,0.8825396825396825
0.5,0.8557692307692307,0.9621621621621622,0.905852417302799,0.8825396825396825
0.5555555555555556,0.8599033816425121,0.9621621621621622,0.9081632653061225,0.8857142857142857
0.611111111111111,0.8592233009708737,0.9567567567567568,0.9053708439897699,0.8825396825396825
0.6666666666666666,0.8571428571428571,0.9405405405405406,0.8969072164948453,0.873015873015873
0.7222222222222222,0.855,0.9243243243243243,0.8883116883116883,0.8634920634920635
0.7777777777777777,0.8673469387755102,0.918918918918919,0.8923884514435697,0.8698412698412699
0.8333333333333333,0.8736842105263158,0.8972972972972973,0.8853333333333333,0.8634920634920635
0.8888888888888888,0.8920454545454546,0.8486486486486486,0.8698060941828255,0.8507936507936508
0.9444444444444444,0.9290322580645162,0.7783783783783784,0.8470588235294118,0.834920634920635
1.0,0.0,0.0,0.0,0.4126984126984127
