Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
389,Emmanuel Mudiay\mudiaem01,PG,25,SAC,2,0,5.5,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,1.5,2.0,.750,0.0,0.0,0.0,2.0,0.5,0.0,0.5,0.5,1.5
390,Mychal Mulder\muldemy01,PG,27,ORL,15,2,13.0,1.3,4.5,.299,0.9,3.1,.283,0.5,1.4,.333,.396,0.1,0.1,1.000,0.1,1.3,1.4,0.2,0.3,0.1,0.5,0.8,3.7
391,Ade Murkey\murkead01,SG,24,SAC,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
392,Trey Murphy III\murphtr02,SF,21,NOP,43,0,12.2,1.2,3.5,.340,0.9,2.5,.343,0.3,1.0,.333,.463,0.6,0.7,.857,0.7,1.4,2.1,0.5,0.3,0.1,0.3,0.9,3.8
393,Dejounte Murray\murrade01,PG,25,SAS,54,54,34.6,8.3,18.0,.461,1.3,4.0,.318,7.0,14.0,.502,.496,2.3,3.0,.769,1.3,7.0,8.3,9.4,2.0,0.3,2.5,2.0,20.1
394,Mike Muscala\muscami01,C,30,OKC,43,0,13.8,2.6,5.8,.456,1.6,3.8,.429,1.0,2.0,.506,.597,1.1,1.3,.842,0.5,2.5,3.0,0.5,0.4,0.6,0.3,1.3,8.0
395,Svi Mykhailiuk\mykhasv01,SF,24,TOR,46,5,14.5,1.9,4.7,.405,0.8,2.7,.311,1.1,2.0,.527,.493,0.6,0.7,.844,0.4,1.5,2.0,0.9,0.5,0.1,0.6,1.0,5.2
396,Abdel Nader\naderab01,SF,28,PHO,14,0,10.4,0.9,2.5,.343,0.3,1.0,.286,0.6,1.5,.381,.400,0.4,0.7,.600,0.3,1.6,1.9,0.5,0.6,0.3,0.8,1.4,2.4
397,Larry Nance Jr.\nancela02,PF,29,POR,37,11,23.2,2.8,5.4,.515,0.5,1.7,.306,2.2,3.7,.610,.563,0.9,1.3,.653,1.6,4.1,5.6,2.0,1.0,0.4,0.7,1.8,6.9
398,RJ Nembhard Jr.\nembhrj01,SG,22,CLE,8,0,6.0,0.6,1.4,.455,0.0,0.1,.000,0.6,1.3,.500,.455,0.1,0.3,.500,0.0,0.3,0.3,1.4,0.0,0.0,0.3,0.3,1.4
399,Aaron Nesmith\nesmiaa01,SF,22,BOS,44,1,10.6,1.3,3.5,.368,0.5,2.1,.245,0.8,1.3,.569,.444,0.4,0.4,.842,0.3,1.4,1.8,0.4,0.3,0.1,0.6,1.2,3.4
400,Raul Neto\netora01,PG,29,WAS,52,8,20.8,3.1,6.9,.457,0.5,1.9,.273,2.6,5.0,.527,.494,1.3,1.7,.750,0.2,1.8,2.0,3.0,0.8,0.0,1.2,1.6,8.1
401,Malik Newman\newmama01,PG,24,CLE,1,0,8.0,3.0,5.0,.600,0.0,1.0,.000,3.0,4.0,.750,.600,2.0,2.0,1.000,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,8.0
402,Georges Niang\niangge01,PF,28,PHI,56,6,23.1,3.3,7.6,.431,1.9,4.9,.396,1.3,2.7,.493,.559,0.8,0.9,.863,0.4,2.3,2.6,1.5,0.4,0.2,0.8,2.6,9.3
403,Daishen Nix\nixda01,SG,19,HOU,8,0,8.4,1.6,2.5,.650,0.4,0.9,.429,1.3,1.6,.769,.725,0.1,0.4,.333,0.1,1.1,1.3,1.3,0.9,0.0,1.1,0.4,3.8
404,Zeke Nnaji\nnajize01,PF,21,DEN,39,1,16.7,2.4,4.5,.540,0.9,1.9,.487,1.5,2.6,.580,.645,1.0,1.6,.613,1.4,2.3,3.7,0.4,0.3,0.3,0.5,1.9,6.8
405,Nerlens Noel\noelne01,C,27,NYK,25,11,22.5,1.3,2.4,.533,0.0,0.1,.000,1.3,2.3,.561,.533,0.8,1.2,.700,1.9,3.7,5.6,0.9,1.2,1.2,0.8,2.7,3.4
406,Jaylen Nowell\nowelja01,SG,22,MIN,44,1,14.7,2.9,6.2,.469,0.8,2.3,.370,2.1,3.9,.526,.537,1.0,1.3,.750,0.4,1.6,2.0,2.1,0.5,0.1,0.5,1.1,7.6
407,Frank Ntilikina\ntilila01,PG,23,DAL,47,5,12.5,1.5,4.0,.379,0.7,2.1,.340,0.8,1.9,.422,.468,0.5,0.5,.958,0.1,1.2,1.3,1.1,0.5,0.1,0.6,1.1,4.3
408,Jusuf Nurkić\nurkiju01,C,27,POR,56,56,28.2,5.7,10.7,.535,0.3,1.0,.268,5.5,9.7,.563,.548,3.3,4.8,.690,3.0,8.1,11.1,2.8,1.1,0.6,2.6,3.4,15.0
409,David Nwaba\nwabada01,SF,29,HOU,39,4,13.6,1.8,3.9,.467,0.3,1.0,.256,1.6,2.9,.540,.500,1.1,1.5,.719,0.9,2.7,3.6,0.8,0.6,0.5,0.5,1.3,4.9
410,Jordan Nwora\nworajo01,SF,23,MIL,48,10,19.4,3.1,7.7,.405,1.4,3.9,.366,1.7,3.8,.445,.497,0.4,0.5,.783,0.6,3.0,3.6,1.0,0.5,0.3,1.0,1.3,8.0
411,Royce O'Neale\onealro01,SF,28,UTA,56,56,31.3,2.7,5.5,.495,1.5,3.7,.411,1.2,1.8,.670,.634,0.7,0.8,.804,0.8,4.1,4.8,2.5,1.3,0.5,0.9,2.4,7.7
412,Semi Ojeleye\ojelese01,PF,27,TOT,23,0,14.2,0.9,3.4,.269,0.6,2.0,.289,0.3,1.4,.242,.353,0.5,0.7,.750,1.1,1.5,2.6,0.2,0.2,0.2,0.3,1.2,2.9
412,Semi Ojeleye\ojelese01,PF,27,MIL,20,0,15.4,0.9,3.5,.257,0.6,2.1,.268,0.4,1.5,.241,.336,0.5,0.7,.769,1.3,1.7,2.9,0.3,0.3,0.3,0.3,1.3,2.9
412,Semi Ojeleye\ojelese01,PF,27,LAC,3,0,6.0,1.0,2.7,.375,0.7,1.3,.500,0.3,1.3,.250,.500,0.7,1.0,.667,0.3,0.3,0.7,0.0,0.0,0.0,1.0,0.3,3.3
413,Chuma Okeke\okekech01,PF,23,ORL,51,10,24.0,3.1,7.9,.390,1.5,4.8,.321,1.5,3.1,.497,.488,0.8,0.9,.848,0.7,4.0,4.7,1.6,1.5,0.6,0.8,1.3,8.5
414,Josh Okogie\okogijo01,SG,23,MIN,34,6,12.1,0.8,2.2,.347,0.3,1.1,.278,0.5,1.1,.410,.413,0.7,1.1,.641,0.7,1.1,1.8,0.6,0.5,0.3,0.6,1.2,2.6
415,Onyeka Okongwu\okongon01,C,21,ATL,29,6,21.1,3.6,4.8,.741,0.0,0.0,,3.6,4.8,.741,.741,1.7,2.3,.731,2.1,3.2,5.3,1.2,0.7,1.4,1.1,3.2,8.8
416,Isaac Okoro\okorois01,SF,21,CLE,46,40,29.0,3.1,6.8,.463,0.8,2.6,.325,2.3,4.2,.550,.526,1.8,2.3,.764,1.1,2.1,3.2,1.8,0.8,0.3,1.0,2.6,8.9
417,KZ Okpala\okpalkz01,PF,22,MIA,21,0,11.6,1.4,3.3,.435,0.4,1.2,.346,1.0,2.0,.488,.500,0.4,0.5,.727,0.5,1.4,2.0,0.7,0.2,0.3,0.2,1.2,3.7
418,Cameron Oliver\oliveca01,SF,25,ATL,2,0,21.5,5.0,7.5,.667,0.5,1.5,.333,4.5,6.0,.750,.700,1.0,1.5,.667,1.0,2.0,3.0,1.5,0.5,0.5,0.0,2.5,11.5
419,Kelly Olynyk\olynyke01,C,30,DET,25,1,20.1,3.4,8.2,.413,1.1,3.4,.326,2.3,4.8,.475,.481,1.6,2.2,.714,1.6,3.3,4.9,2.8,0.9,0.4,1.5,2.4,9.5
420,Eugene Omoruyi\omorueu01,SF,24,DAL,4,0,4.5,0.5,1.3,.400,0.3,0.5,.500,0.3,0.8,.333,.500,0.5,1.0,.500,0.5,1.3,1.8,0.5,0.0,0.0,0.0,0.5,1.8
421,Miye Oni\onimi01,SG,24,UTA,16,0,2.8,0.1,0.6,.222,0.1,0.5,.125,0.1,0.1,1.000,.278,0.0,0.1,.000,0.1,0.4,0.4,0.3,0.0,0.0,0.1,0.4,0.3
422,Cedi Osman\osmande01,SF,26,CLE,49,3,23.1,3.9,9.1,.424,2.1,5.7,.366,1.8,3.4,.521,.538,1.4,2.1,.650,0.4,1.9,2.3,2.1,0.9,0.2,1.0,1.9,11.2
423,Daniel Oturu\oturuda01,C,22,TOR,3,0,9.0,1.0,2.0,.500,0.0,0.3,.000,1.0,1.7,.600,.500,1.0,1.7,.600,0.3,1.3,1.7,0.0,0.0,0.7,0.0,0.3,3.0
424,Kelly Oubre Jr.\oubreke01,SF,26,CHO,57,13,28.5,5.9,13.5,.438,2.8,8.0,.344,3.1,5.5,.574,.540,1.8,2.7,.671,1.2,3.0,4.2,1.2,1.1,0.4,1.1,2.6,16.3
425,Jaysean Paige\paigeja01,PG,27,DET,1,0,7.0,0.0,3.0,.000,0.0,2.0,.000,0.0,1.0,.000,.000,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0
426,Trayvon Palmer\palmetr01,SG,27,DET,1,0,17.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0
427,Kevin Pangos\pangoke01,PG,29,CLE,24,3,6.9,0.6,1.9,.326,0.3,1.1,.231,0.4,0.8,.450,.391,0.1,0.2,.750,0.1,0.4,0.5,1.3,0.1,0.0,0.3,0.5,1.6
428,Jabari Parker\parkeja01,PF,26,BOS,12,0,9.3,1.5,3.2,.474,0.7,1.3,.500,0.8,1.8,.455,.579,0.8,0.8,1.000,0.4,1.9,2.3,0.5,0.3,0.1,0.7,1.1,4.4
429,Eric Paschall\pascher01,PF,25,UTA,45,1,13.1,1.9,4.0,.486,0.8,2.0,.378,1.2,2.0,.596,.581,1.1,1.5,.758,0.6,1.5,2.0,0.6,0.2,0.1,0.6,1.0,5.7
430,Chris Paul\paulch01,PG,36,PHO,58,58,33.0,5.6,11.5,.487,1.0,3.1,.330,4.6,8.4,.546,.532,2.7,3.2,.843,0.3,4.2,4.5,10.7,1.9,0.3,2.4,2.0,14.9
431,Cameron Payne\payneca01,PG,27,PHO,40,0,20.4,4.0,9.8,.404,1.1,3.4,.336,2.8,6.4,.440,.462,1.4,1.7,.864,0.4,2.4,2.8,3.6,0.6,0.3,1.8,1.9,10.5
432,Elfrid Payton\paytoel01,PG,27,PHO,39,0,11.7,1.5,3.7,.390,0.1,0.4,.250,1.4,3.3,.408,.404,0.3,0.7,.393,0.5,1.4,1.9,2.2,0.5,0.1,1.0,0.9,3.3
433,Gary Payton II\paytoga02,PG,29,GSW,59,13,17.0,2.9,4.8,.611,0.7,1.8,.368,2.3,3.0,.754,.679,0.5,0.9,.574,0.9,2.5,3.4,0.8,1.4,0.3,0.5,1.8,7.1
434,Norvel Pelle\pelleno01,C,28,UTA,3,0,6.3,1.0,1.7,.600,0.0,0.0,,1.0,1.7,.600,.600,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.3,0.7,0.3,2.0
435,Reggie Perry\perryre01,PF,21,TOT,3,0,17.0,1.7,3.3,.500,0.3,0.7,.500,1.3,2.7,.500,.550,0.7,0.7,1.000,0.7,2.0,2.7,0.7,0.3,0.0,0.3,3.0,4.3
435,Reggie Perry\perryre01,PF,21,POR,2,0,20.5,2.0,4.5,.444,0.5,1.0,.500,1.5,3.5,.429,.500,1.0,1.0,1.000,1.0,2.5,3.5,1.0,0.5,0.0,0.5,3.0,5.5
435,Reggie Perry\perryre01,PF,21,IND,1,0,10.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0
436,Jamorko Pickett\pickeja01,PF,24,DET,6,0,7.8,0.2,1.7,.100,0.2,1.2,.143,0.0,0.5,.000,.150,0.0,0.0,,0.3,1.2,1.5,0.2,0.0,0.2,0.5,0.5,0.5
437,Theo Pinson\pinsoth01,SF,26,DAL,16,0,7.5,0.6,2.0,.281,0.4,1.6,.240,0.2,0.4,.429,.375,0.3,0.3,1.000,0.1,1.1,1.2,0.8,0.3,0.1,0.1,0.6,1.8
438,Mason Plumlee\plumlma01,C,31,CHO,54,54,25.2,2.9,4.6,.629,0.0,0.0,.000,2.9,4.6,.634,.629,0.9,2.4,.357,2.6,5.4,8.0,3.0,0.9,0.6,1.3,3.1,6.6
439,Jakob Poeltl\poeltja01,C,26,SAS,51,50,29.2,6.1,9.8,.622,0.0,0.0,1.000,6.1,9.7,.622,.623,1.3,2.8,.461,3.9,5.3,9.2,2.9,0.7,1.8,1.6,3.0,13.5
440,Aleksej Pokusevski\pokusal01,PF,20,OKC,45,2,16.9,2.4,6.2,.397,0.7,2.7,.273,1.7,3.5,.494,.457,0.2,0.4,.579,1.0,3.4,4.4,1.3,0.6,0.6,1.2,1.2,5.9
441,Yves Pons\ponsyv01,SF,22,MEM,7,0,3.1,0.1,0.4,.333,0.1,0.1,1.000,0.0,0.3,.000,.500,0.0,0.3,.000,0.3,0.4,0.7,0.0,0.0,0.0,0.0,0.3,0.4
442,Jordan Poole\poolejo01,SG,22,GSW,56,35,28.6,5.4,12.5,.434,2.3,6.8,.332,3.2,5.7,.558,.525,2.9,3.1,.925,0.5,2.6,3.1,3.5,0.8,0.3,2.3,2.6,16.0
443,Kevin Porter Jr.\porteke02,PG,21,HOU,40,40,29.9,4.7,11.8,.395,2.3,6.0,.379,2.4,5.8,.411,.492,1.9,3.2,.606,0.8,3.2,4.0,6.1,1.2,0.3,3.4,2.5,13.5
444,Michael Porter Jr.\portemi01,SF,23,DEN,9,9,29.4,4.1,11.4,.359,1.1,5.3,.208,3.0,6.1,.491,.408,0.6,1.0,.556,1.0,5.6,6.6,1.9,1.1,0.2,1.3,1.8,9.9
445,Otto Porter Jr.\porteot01,PF,28,GSW,51,13,21.4,3.1,6.6,.475,1.4,3.6,.384,1.7,2.9,.587,.581,0.6,0.8,.780,1.1,4.2,5.3,1.5,1.2,0.5,0.5,1.3,8.3
446,Bobby Portis\portibo01,C,26,MIL,53,48,28.8,6.1,12.6,.486,2.1,4.9,.416,4.1,7.7,.531,.567,1.4,1.8,.745,2.5,6.7,9.2,1.2,0.7,0.8,1.4,2.6,15.7
447,Kristaps Porziņģis\porzikr01,PF,26,DAL,34,34,29.5,6.7,14.9,.451,1.4,5.1,.283,5.3,9.9,.537,.499,4.3,5.0,.865,1.9,5.8,7.7,2.0,0.7,1.7,1.6,2.6,19.2
448,Micah Potter\pottemi01,C,23,DET,3,0,10.3,1.7,3.7,.455,0.0,0.7,.000,1.7,3.0,.556,.455,0.7,0.7,1.000,1.3,1.7,3.0,0.0,0.3,0.3,0.3,1.3,4.0
449,Dwight Powell\poweldw01,C,30,DAL,62,51,20.6,2.8,4.3,.654,0.2,0.5,.406,2.6,3.8,.688,.678,1.7,2.2,.754,2.0,2.4,4.5,1.1,0.5,0.4,0.8,2.5,7.6
450,Myles Powell\powelmy01,PG,24,PHI,11,0,4.7,0.5,1.5,.294,0.1,0.5,.167,0.4,1.0,.364,.324,0.2,0.2,1.000,0.1,0.5,0.5,0.3,0.1,0.0,0.3,0.7,1.2
451,Norman Powell\powelno01,SF-SG,28,TOT,43,41,32.9,6.2,13.6,.457,2.3,5.7,.407,3.9,7.9,.493,.542,4.1,5.1,.807,0.5,2.8,3.3,2.2,1.0,0.4,1.6,2.3,18.8
451,Norman Powell\powelno01,SF,28,POR,40,39,33.3,6.2,13.6,.456,2.3,5.7,.406,3.9,7.8,.492,.542,4.0,5.0,.803,0.4,2.9,3.3,2.1,1.0,0.4,1.6,2.3,18.7
451,Norman Powell\powelno01,SG,28,LAC,3,2,26.7,6.7,14.0,.476,2.0,4.7,.429,4.7,9.3,.500,.548,5.7,6.7,.850,1.0,2.0,3.0,4.0,0.7,0.7,1.7,2.7,21.0
452,Joshua Primo\primojo01,SG,19,SAS,32,4,15.7,1.7,4.6,.363,0.8,2.4,.325,0.9,2.2,.406,.449,0.7,0.9,.767,0.6,1.1,1.7,1.4,0.4,0.5,0.9,1.3,4.8
453,Taurean Prince\princta02,PF,27,MIN,51,8,15.8,2.2,4.7,.456,1.1,2.9,.377,1.1,1.9,.579,.571,0.7,0.9,.773,0.4,1.9,2.3,0.9,0.6,0.3,0.7,1.4,6.1
454,Payton Pritchard\pritcpa01,SG,24,BOS,53,2,12.8,1.9,4.8,.395,1.1,2.9,.372,0.8,1.8,.433,.510,0.3,0.3,1.000,0.3,1.3,1.6,1.8,0.2,0.1,0.6,0.8,5.1
455,Trevelin Queen\queentr01,SG,24,HOU,8,0,8.6,1.6,3.6,.448,1.0,2.8,.364,0.6,0.9,.714,.586,0.4,0.4,1.000,0.6,1.1,1.8,0.4,0.6,0.0,0.9,0.8,4.6
456,Neemias Queta\quetane01,C,22,SAC,10,0,5.6,0.9,2.3,.391,0.0,0.0,,0.9,2.3,.391,.391,0.3,0.5,.600,1.1,0.8,1.9,0.4,0.1,0.4,0.4,1.1,2.1
457,Immanuel Quickley\quickim01,PG,22,NYK,57,2,21.3,3.1,8.5,.369,1.6,4.9,.329,1.5,3.6,.424,.464,1.6,1.8,.921,0.4,2.0,2.4,2.9,0.6,0.1,1.3,2.2,9.5
458,Jahmi'us Ramsey\ramseja01,SG,20,SAC,19,0,7.1,1.3,3.1,.414,0.3,0.9,.278,1.0,2.1,.475,.457,0.4,0.7,.500,0.2,0.5,0.7,0.4,0.1,0.1,0.3,0.5,3.2
459,Julius Randle\randlju01,PF,27,NYK,59,59,35.7,7.0,16.8,.415,1.6,5.3,.301,5.4,11.5,.467,.462,4.1,5.3,.761,1.8,8.3,10.2,5.3,0.7,0.6,3.5,2.8,19.6
460,Austin Reaves\reaveau01,SG,23,LAL,42,3,21.5,2.0,4.4,.470,0.7,2.5,.298,1.3,1.9,.696,.555,1.1,1.4,.828,0.5,2.0,2.5,1.3,0.3,0.3,0.5,1.5,6.0
461,Cam Reddish\reddica01,SF,22,TOT,45,7,20.8,3.4,8.6,.398,1.4,3.9,.360,2.0,4.7,.429,.479,2.1,2.3,.913,0.5,1.6,2.1,1.0,1.0,0.3,1.2,1.2,10.3
461,Cam Reddish\reddica01,SF,22,ATL,34,7,23.4,4.1,10.1,.402,1.7,4.5,.379,2.4,5.6,.421,.487,2.1,2.4,.900,0.6,1.9,2.5,1.1,1.0,0.3,1.3,1.3,11.9
461,Cam Reddish\reddica01,SF,22,NYK,11,0,12.5,1.5,4.0,.364,0.5,2.0,.227,1.0,2.0,.500,.420,2.0,2.1,.957,0.1,0.9,1.0,0.6,0.7,0.3,0.8,0.6,5.4
462,Davon Reed\reedda01,SG,26,DEN,31,3,13.1,1.5,3.2,.480,0.7,1.7,.434,0.8,1.5,.533,.597,0.2,0.2,.857,0.4,2.1,2.4,1.0,0.5,0.1,0.3,1.3,4.0
463,Paul Reed\reedpa01,C,22,PHI,25,2,9.2,1.1,2.4,.450,0.0,0.2,.000,1.1,2.2,.482,.450,0.2,0.4,.400,1.2,1.4,2.6,0.4,0.8,0.5,0.3,1.4,2.3
464,Naz Reid\reidna01,C,22,MIN,60,5,15.9,3.0,6.3,.475,0.7,2.1,.331,2.3,4.1,.548,.531,1.4,1.9,.737,1.3,2.4,3.7,0.9,0.4,1.0,1.0,2.1,8.0
465,Nick Richards\richani01,C,24,CHO,41,5,8.4,1.3,2.0,.679,0.0,0.0,,1.3,2.0,.679,.679,0.7,1.0,.732,0.7,1.2,2.0,0.3,0.2,0.5,0.5,1.2,3.4
466,Josh Richardson\richajo01,SG,28,TOT,47,0,24.1,3.3,7.6,.440,1.4,3.4,.404,2.0,4.2,.469,.531,1.3,1.5,.859,0.6,2.1,2.7,1.5,0.7,0.5,0.9,1.9,9.4
466,Josh Richardson\richajo01,SG,28,BOS,44,0,24.7,3.5,7.8,.443,1.4,3.5,.397,2.0,4.3,.481,.534,1.4,1.6,.859,0.6,2.3,2.8,1.5,0.8,0.5,0.9,1.9,9.7
466,Josh Richardson\richajo01,SG,28,SAS,3,0,15.7,1.7,4.7,.357,1.0,1.7,.600,0.7,3.0,.222,.464,0.0,0.0,,1.0,0.3,1.3,2.0,0.3,0.3,0.3,1.7,4.3
467,Austin Rivers\riverau01,SG,29,DEN,47,13,21.2,2.3,5.4,.416,1.2,3.6,.345,1.0,1.9,.552,.529,0.4,0.6,.690,0.3,1.4,1.7,1.2,0.7,0.1,0.8,1.6,6.2
468,Duncan Robinson\robindu01,SG,27,MIA,59,54,27.0,3.9,9.8,.394,3.0,8.3,.361,0.9,1.5,.580,.548,0.7,0.8,.833,0.4,2.6,2.9,1.6,0.6,0.2,0.8,2.7,11.4
469,Justin Robinson\robinju01,PG,24,TOT,25,0,12.2,1.1,3.7,.301,0.7,2.4,.295,0.4,1.3,.313,.398,0.2,0.3,.500,0.2,0.7,0.8,1.3,0.4,0.0,0.7,1.1,3.1
469,Justin Robinson\robinju01,PG,24,MIL,17,0,11.6,1.1,3.4,.316,0.6,2.2,.270,0.5,1.2,.400,.404,0.1,0.1,1.000,0.1,0.6,0.8,1.2,0.5,0.0,0.6,1.0,2.8
469,Justin Robinson\robinju01,PG,24,SAC,3,0,5.0,0.3,2.7,.125,0.0,1.0,.000,0.3,1.7,.200,.125,0.0,0.0,,0.0,0.3,0.3,0.7,0.0,0.0,0.3,0.7,0.7
469,Justin Robinson\robinju01,PG,24,DET,5,0,18.2,1.8,5.6,.321,1.6,4.2,.381,0.2,1.4,.143,.464,0.4,1.2,.333,0.4,1.0,1.4,1.8,0.2,0.2,1.0,1.6,5.6
470,Mitchell Robinson\robinmi01,C,23,NYK,55,46,25.3,3.5,4.6,.762,0.0,0.0,,3.5,4.6,.762,.762,1.2,2.4,.515,3.8,4.9,8.7,0.4,0.7,1.6,0.8,2.8,8.2
471,Jeremiah Robinson-Earl\robinje02,C,21,OKC,44,36,23.0,2.7,6.6,.401,1.1,3.4,.333,1.5,3.2,.472,.486,0.7,1.0,.714,1.6,4.2,5.8,1.0,0.6,0.3,0.8,1.7,7.1
472,Isaiah Roby\robyis01,PF,23,OKC,25,10,16.2,2.8,5.6,.504,0.6,1.5,.378,2.2,4.1,.549,.554,1.0,1.4,.743,1.4,2.5,3.9,0.9,0.6,0.5,0.8,2.1,7.2
473,Rajon Rondo\rondora01,PG,35,TOT,32,1,18.5,1.8,4.9,.378,0.8,2.4,.329,1.1,2.5,.425,.458,0.5,0.7,.739,0.4,2.6,3.0,4.3,0.8,0.2,1.9,1.5,5.0
473,Rajon Rondo\rondora01,PG,35,LAL,18,0,16.1,1.3,3.9,.324,0.4,1.7,.267,0.8,2.3,.366,.380,0.1,0.1,.500,0.6,2.2,2.7,3.7,0.7,0.3,1.9,1.4,3.1
473,Rajon Rondo\rondora01,PG,35,CLE,14,1,21.7,2.6,6.1,.424,1.2,3.3,.370,1.4,2.8,.487,.524,1.1,1.5,.762,0.2,3.1,3.4,5.0,1.0,0.0,2.0,1.6,7.5
474,Derrick Rose\rosede01,PG,33,NYK,26,4,24.5,4.7,10.5,.445,1.4,3.5,.402,3.3,7.0,.467,.513,1.2,1.2,.968,0.8,2.2,3.0,4.0,0.8,0.5,1.5,0.6,12.0
475,Terrence Ross\rosste01,SG,30,ORL,53,0,23.9,3.6,9.0,.404,1.3,4.2,.308,2.4,4.8,.486,.475,1.8,2.1,.867,0.3,2.3,2.6,1.9,0.5,0.2,1.3,1.1,10.4
476,Terry Rozier\roziete01,SG,27,CHO,54,54,33.9,7.0,16.1,.435,3.0,8.2,.364,4.0,7.9,.508,.528,2.0,2.5,.820,0.8,3.5,4.3,4.4,1.2,0.4,1.3,1.7,19.0
477,Ricky Rubio\rubiori01,PG,31,CLE,34,8,28.5,4.4,12.1,.363,1.7,5.1,.339,2.6,7.0,.380,.434,2.6,3.0,.854,0.4,3.7,4.1,6.6,1.4,0.2,2.6,2.2,13.1
478,D'Angelo Russell\russeda01,PG,25,MIN,49,49,32.2,6.7,15.9,.419,3.0,8.5,.352,3.7,7.5,.495,.512,3.1,3.8,.817,0.4,3.1,3.4,6.9,0.9,0.4,2.6,2.2,19.4
479,Domantas Sabonis\sabondo01,C-PF,25,TOT,54,53,34.5,7.2,12.4,.582,0.7,2.1,.319,6.5,10.3,.637,.610,3.7,5.1,.734,3.3,8.9,12.2,5.1,1.0,0.5,3.1,3.2,18.9
479,Domantas Sabonis\sabondo01,C,25,IND,47,46,34.7,7.0,12.1,.580,0.7,2.3,.324,6.3,9.9,.639,.610,4.1,5.5,.740,3.3,8.8,12.1,5.0,1.0,0.5,3.0,3.1,18.9
479,Domantas Sabonis\sabondo01,PF,25,SAC,7,7,33.0,8.4,14.1,.596,0.3,1.1,.250,8.1,13.0,.626,.606,1.4,2.3,.625,3.6,9.6,13.1,5.9,1.0,0.4,3.6,3.9,18.6
480,Olivier Sarr\sarrol01,C,22,OKC,5,0,12.2,1.6,3.2,.500,0.2,0.8,.250,1.4,2.4,.583,.531,0.6,0.8,.750,0.2,2.4,2.6,0.4,0.0,0.4,0.0,2.0,4.0
481,Tomáš Satoranský\satorto01,SG,30,TOT,34,3,14.8,1.0,3.2,.306,0.1,0.9,.161,0.8,2.3,.364,.329,0.7,0.9,.774,0.5,1.5,2.0,2.3,0.5,0.1,0.7,1.0,2.8
481,Tomáš Satoranský\satorto01,SG,30,NOP,32,3,15.0,1.0,3.3,.299,0.2,1.0,.161,0.8,2.4,.355,.322,0.6,0.8,.760,0.6,1.4,2.0,2.4,0.4,0.0,0.7,1.0,2.8
481,Tomáš Satoranský\satorto01,SG,30,SAS,1,0,9.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,3.0,4.0,.750,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
481,Tomáš Satoranský\satorto01,SG,30,WAS,1,0,14.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,2.0,2.0,1.000,0.0,3.0,3.0,1.0,2.0,1.0,0.0,0.0,4.0
482,Jordan Schakel\schakjo01,SG,23,WAS,2,0,7.0,0.0,3.0,.000,0.0,1.5,.000,0.0,1.5,.000,.000,0.0,0.0,,1.0,0.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0
483,Admiral Schofield\schofad01,SF,24,ORL,26,1,10.6,1.2,2.7,.464,0.5,1.6,.341,0.7,1.1,.643,.565,0.2,0.3,.714,0.3,1.5,1.9,0.6,0.1,0.2,0.5,1.3,3.2
484,Dennis Schröder\schrode01,SG-PG,28,TOT,55,29,29.4,5.1,11.8,.429,1.3,4.0,.336,3.7,7.8,.477,.486,2.5,2.9,.851,0.6,2.9,3.5,4.6,0.8,0.1,2.3,2.5,14.0
484,Dennis Schröder\schrode01,SG,28,BOS,49,25,29.2,5.2,11.9,.440,1.4,3.9,.349,3.9,8.0,.485,.497,2.5,3.0,.848,0.6,2.8,3.3,4.2,0.8,0.1,2.1,2.4,14.4
484,Dennis Schröder\schrode01,PG,28,HOU,6,4,30.5,3.7,11.0,.333,1.2,4.7,.250,2.5,6.3,.395,.386,2.3,2.7,.875,1.0,3.5,4.5,7.5,0.5,0.2,3.5,3.3,10.8
485,Tre Scott\scotttr01,SF,25,CLE,2,0,5.5,1.5,3.0,.500,0.0,0.5,.000,1.5,2.5,.600,.500,0.0,0.0,,0.5,0.5,1.0,0.0,0.5,0.5,0.0,1.0,3.0
