Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
331,Robin Lopez\lopezro01,C,33,ORL,27,9,17.3,3.4,6.0,.571,0.1,0.2,.400,3.3,5.8,.577,.578,0.9,1.5,.575,2.0,1.6,3.6,1.6,0.0,0.6,1.3,1.9,7.7
332,Didi Louzada\louzama01,SF,22,NOP,2,0,3.5,0.0,1.5,.000,0.0,1.5,.000,0.0,0.0,,.000,0.0,0.0,,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0
333,Kevin Love\loveke01,PF,33,CLE,53,2,22.1,4.5,10.6,.420,2.5,6.4,.388,2.0,4.2,.468,.537,2.7,3.2,.858,1.1,6.1,7.2,2.2,0.4,0.2,1.3,1.2,14.1
334,Kyle Lowry\lowryky01,PG,35,MIA,48,48,34.3,4.4,10.4,.425,2.2,6.1,.356,2.2,4.3,.522,.529,2.4,2.8,.853,0.6,4.1,4.6,7.9,1.2,0.3,2.9,2.8,13.4
335,Timothé Luwawu-Cabarrot\luwawti01,SF,26,ATL,37,12,12.3,1.4,3.5,.385,0.9,2.4,.368,0.5,1.2,.419,.508,0.5,0.5,.850,0.2,1.1,1.3,0.7,0.4,0.1,0.4,1.2,4.0
336,Trey Lyles\lylestr01,PF,26,TOT,56,4,18.8,3.4,7.2,.467,0.8,2.7,.307,2.5,4.5,.563,.525,2.6,3.3,.781,1.1,3.5,4.6,1.1,0.4,0.5,1.0,1.7,10.1
336,Trey Lyles\lylestr01,PF,26,DET,51,3,19.4,3.4,7.5,.456,0.9,2.9,.301,2.6,4.7,.550,.513,2.7,3.5,.784,1.2,3.6,4.8,1.1,0.4,0.5,1.1,1.8,10.4
336,Trey Lyles\lylestr01,PF,26,SAC,5,1,12.2,2.8,4.2,.667,0.6,1.4,.429,2.2,2.8,.786,.738,1.0,1.4,.714,0.6,2.2,2.8,0.4,0.0,0.0,0.6,0.8,7.2
337,Théo Maledon\maledth01,PG,20,OKC,34,0,14.2,1.5,4.5,.329,0.6,2.2,.263,0.9,2.2,.395,.395,1.1,1.4,.826,0.3,1.4,1.6,1.3,0.5,0.1,0.9,1.1,4.6
338,Sandro Mamukelashvili\mamuksa01,PF,22,MIL,34,2,9.3,1.1,2.5,.459,0.4,1.1,.385,0.7,1.4,.522,.547,0.3,0.4,.750,0.8,0.9,1.8,0.5,0.2,0.2,0.3,0.6,3.0
