threshold,precision,recall,f1,accuracy
0.0,0.5873015873015873,1.0,0.74,0.5873015873015873
0.05555555555555555,0.71875,0.9945945945945946,0.8344671201814059,0.7682539682539683
0.1111111111111111,0.736,0.9945945945945946,0.8459770114942529,0.7873015873015873
0.16666666666666666,0.7625,0.9891891891891892,0.8611764705882353,0.8126984126984127
0.2222222222222222,0.7887931034482759,0.9891891891891892,0.8776978417266187,0.8380952380952381
0.2777777777777778,0.8125,0.9837837837837838,0.8899755501222493,0.8571428571428571
0.3333333333333333,0.8198198198198198,0.9837837837837838,0.8943488943488944,0.8634920634920635
0.38888888888888884,0.8310502283105022,0.9837837837837838,0.900990099009901,0.873015873015873
0.4444444444444444,0.8418604651162791,0.9783783783783784,0.905,0.8793650793650793
0.5,0.8483412322274881,0.9675675675675676,0.904040404040404,0.8793650793650793
0.5555555555555556,0.8640776699029126,0.9621621621621622,0.9104859335038363,0.8888888888888888
0.611111111111111,0.8743718592964824,0.9405405405405406,0.9062499999999999,0.8857142857142857
0.6666666666666666,0.8756476683937824,0.9135135135135135,0.8941798941798942,0.873015873015873
0.7222222222222222,0.8877005347593583,0.8972972972972973,0.8924731182795699,0.873015873015873
0.7777777777777777,0.9085714285714286,0.8594594594594595,0.8833333333333334,0.8666666666666667
0.8333333333333333,0.9333333333333333,0.8324324324324325,0.88,0.8666666666666667
0.8888888888888888,0.9477124183006536,0.7837837837837838,0.8579881656804733,0.8476190476190476
0.9444444444444444,0.9770992366412213,0.6918918918918919,0.810126582278481,0.8095238095238095
1.0,1.0,0.41621621621621624,0.5877862595419848,0.6571428571428571
